Sentiment,Tweets
0,['RT 6 CSK games Blockbuster entertainment Last suspense thrillers Nail biting finish Nolanesque twist end']
1,['RT Dhoni GOT greatest player ever I still shaking CSK']
1,['IPL2018 becomes Orange Cap holder enters Top 10 run getters IPL11']
0,['RT MSD7 We outside pressure anyone relaxed environment They allow players thems']
0,['My bist teem CSK']
1,['RT Vivek 7 balls 21 win bowl 3 wides Dar Rahena The Name MAHENDRA SINGH DHONI Podra Whistle ah CSK gt']
0,['RT 6 CSK games Blockbuster entertainment Last suspense thrillers Nail biting finish Nolanesque twist end']
2,['RT offl Thala another unbelievable knock forget class apart csk whitslepodu RCBvCSK']
1,['RT willey WOW What incredible win world Can believe I witnessed tha']
0,['RT If Dhoni Thala Bravo CSK year']
0,['RT Well played csk']
1,['RT willey WOW What incredible win world Can believe I witnessed tha']
1,['RT Dear haters pls talk decade Win lose matter shots played csk']
0,['RT DHONI guy King CSK WhistlePodu']
1,['RT Dear haters pls talk decade Win lose matter shots played csk']
1,['RT Another incredible fantastic win CSK arch rival RCB Pure joy watching team especially ThalaDhoni']
1,['RT Dear haters pls talk decade Win lose matter shots played csk']
0,['RT Take bow WhistlePodu CSK']
0,['RT When Dhoni playing fan CSK Thala Dhoni CSK IPL']
1,['RT witnessed special What favourite MSDhoni IPL innings amp Post comments Best entry g']
1,['RT Bak twitter aftr weeks break awesome match csk n frnd rayudu great fans']
1,['RT Stephen Fleming addresses press MS Dhoni inspired CSK clinched nail biting five wicket win Chinnaswam']
2,['RT sports We often associate term Game Management football How game CSK game management Played']
0,['next match nails bite rcbvscsk CSK WhistlePodu']
1,['RT Stephen Fleming addresses press MS Dhoni inspired CSK clinched nail biting five wicket win Chinnaswam']
0,['RT Dhoni Last Ball Six Harbhajan Reaction CSK v RCB IPL2018']
1,['RT Stephen Fleming addresses press MS Dhoni inspired CSK clinched nail biting five wicket win Chinnaswam']
1,['RT Stephen Fleming addresses press MS Dhoni inspired CSK clinched nail biting five wicket win Chinnaswam']
0,['RT This gentleman susee part Anti IPL protests Chennai couple weeks ago CSK WhistlePodu']
0,['RT If Dhoni Thala Bravo CSK year']
0,['RT This gentleman susee part Anti IPL protests Chennai couple weeks ago CSK WhistlePodu']
0,['RT That last ball though Take bow Dhoni CSK']
1,['RT Dear haters pls talk decade Win lose matter shots played csk']
0,['RT Take bow WhistlePodu CSK']
1,['RT Stephen Fleming addresses press MS Dhoni inspired CSK clinched nail biting five wicket win Chinnaswam']
0,['Kaveri derby honours k bragging rights Thala da CSK Rayadu MSDhoni CSKvRCB IPL2018']
2,['RT Dear This Crazy Our Superfan allowed Carry CSK Flag inside Chinnaswamy Stadium']
0,['RT Kings IPL ChennaiSuperKings Whistlepodu IPL2018 IPL MSDhoni Dhoni CSK RCBvCSK']
1,['RT willey WOW What incredible win world Can believe I witnessed tha']
1,['RT Mahendran Thala csk Da played like true warrior Pakka tea']
1,['RT Stephen Fleming addresses press MS Dhoni inspired CSK clinched nail biting five wicket win Chinnaswam']
1,['Everyone talk Dhoni winning six When csk 4 players sent back batte']
1,['RT willey WOW What incredible win world Can believe I witnessed tha']
1,['RT Ambati Rayudu good IPL seasons past never batted well batting year The rock']
1,['RT Dear haters pls talk decade Win lose matter shots played csk']
0,['RT If Dhoni Thala Bravo CSK year']
1,['RT willey WOW What incredible win world Can believe I witnessed tha']
0,['RT 6 CSK games Blockbuster entertainment Last suspense thrillers Nail biting finish Nolanesque twist end']
2,['RT Anushka SAD Dhoni Raining Sixes CSK v RCB IPL2018']
0,['RT CSK always']
1,['RT Unhoni ko honi kar de woh hai Dhoni Thala Dhoni lives reputation Legendary finisher CSK wins blind']
1,['RT Dhoni finishes style It Whistlepodu time CSK making habit winning games l']
1,['RT Weightu Weightu Weightu Enga THALA DHONI Weightu The Coolest u ever see top knock Rayudu man kn']
2,['RT What game CSK wins Dhoni finishes six 2 balls spare 70 34 7 6s whatta knock MSDhoni']
2,['RT sports We often associate term Game Management football How game CSK game management Played']
1,['RT Weightu Weightu Weightu Enga THALA DHONI Weightu The Coolest u ever see top knock Rayudu man kn']
1,['Yah DJ SecretSuperstar yesterday Mahibali Love u csk']
0,['RT MSD7 We outside pressure anyone relaxed environment They allow players thems']
0,['RT LoLwa When see dhoni back form csk']
0,['RT 6 CSK games Blockbuster entertainment Last suspense thrillers Nail biting finish Nolanesque twist end']
0,['RT DHONI guy King CSK WhistlePodu']
0,['LIT Thala MSDhoni CSK WhistlePodu']
1,['RT Unhoni ko honi kar de woh hai Dhoni Thala Dhoni lives reputation Legendary finisher CSK wins blind']
1,['RT Stephen Fleming addresses press MS Dhoni inspired CSK clinched nail biting five wicket win Chinnaswam']
1,['RT Stephen Fleming addresses press MS Dhoni inspired CSK clinched nail biting five wicket win Chinnaswam']
1,['RT Unhoni ko honi kar de woh hai Dhoni Thala Dhoni lives reputation Legendary finisher CSK wins blind']
1,['RT Stephen Fleming addresses press MS Dhoni inspired CSK clinched nail biting five wicket win Chinnaswam']
1,['CSK TEAM A REAL CLASSY SPORTS CHARMING TEAM LAST MATCH THAT PROFE JAB MSD HITTING 6S APNA 1ST OVR SE HI AGAINST R']
0,['RT DHONI guy King CSK WhistlePodu']
1,['RT willey WOW What incredible win world Can believe I witnessed tha']
1,['RT Stephen Fleming addresses press MS Dhoni inspired CSK clinched nail biting five wicket win Chinnaswam']
1,['RT Stephen Fleming addresses press MS Dhoni inspired CSK clinched nail biting five wicket win Chinnaswam']
1,['RT CONTEST Win Tickets tonight fire vs ice encounter RCB amp CSK Play Quiz']
1,['RT Dear haters pls talk decade Win lose matter shots played csk']
0,['MI owners care CSK owners']
1,['RT willey WOW What incredible win world Can believe I witnessed tha']
0,['RT Oh The masters heartbeat Again CSK']
2,['RT offl Thala another unbelievable knock forget class apart csk whitslepodu RCBvCSK']
1,['RT RCBvCSK MS Dhoni Legend He looks back formidable best And Rayudu continuing stunning form']
0,['RT Take bow WhistlePodu CSK']
1,['RT RCBvCSK MS Dhoni Legend He looks back formidable best And Rayudu continuing stunning form']
0,['RT Take bow WhistlePodu CSK']
1,['RT CSK night moves top IPL2018 table 5 wins 6 fantastic NRR 0 662 Rayudu grabs']
0,['Once lion roars finishes style Thala RCBvCSK CSK']
0,['RT DHONI guy King CSK WhistlePodu']
0,['RT 6 CSK games Blockbuster entertainment Last suspense thrillers Nail biting finish Nolanesque twist end']
1,['RT Dear haters pls talk decade Win lose matter shots played csk']
1,['RT nair Dear God Why team awesome The BEST ever charisma team IPL History Mind blown']
1,['RT willey WOW What incredible win world Can believe I witnessed tha']
0,['RT MSD7 We outside pressure anyone relaxed environment They allow players thems']
1,['RT Stephen Fleming addresses press MS Dhoni inspired CSK clinched nail biting five wicket win Chinnaswam']
1,['RT Yes 30 So Once finisher always finisher THALA proves time amp CSK Daww Dei kindly inclu']
0,['RT That last ball though Take bow Dhoni CSK']
1,['RT willey WOW What incredible win world Can believe I witnessed tha']
1,['RT nair Dear God Why team awesome The BEST ever charisma team IPL History Mind blown']
1,['RT willey WOW What incredible win world Can believe I witnessed tha']
1,['RT MSDhoni like vintage wine tastes better passage time Watch mass Padayappa Dhoni mashup']
1,['RT nair Dear God Why team awesome The BEST ever charisma team IPL History Mind blown']
1,['RT Ambati Rayudu good IPL seasons past never batted well batting year The rock']
0,['RT CSK always']
